DATE,NETEXP
1967-01-01,4.453
1967-04-01,4.219
1967-07-01,3.302
1967-10-01,2.244
1968-01-01,1.054
1968-04-01,1.749
1968-07-01,1.65
1968-10-01,0.945
1969-01-01,0.239
1969-04-01,1.104
1969-07-01,1.231
1969-10-01,3.149
1970-01-01,3.514
1970-04-01,5.207
1970-07-01,4.088
1970-10-01,2.985
1971-01-01,4.57
1971-04-01,-0.401
1971-07-01,0.236
1971-10-01,-1.92
1972-01-01,-3.534
1972-04-01,-4.258
1972-07-01,-2.638
1972-10-01,-3.061
1973-01-01,-1.4
1973-04-01,2.454
1973-07-01,6.437
1973-10-01,8.952
1974-01-01,6.394
1974-04-01,-2.714
1974-07-01,-6.972
1974-10-01,0.033
1975-01-01,16.481
1975-04-01,21.582
1975-07-01,12.043
1975-10-01,13.801
1976-01-01,4.65
1976-04-01,-0.496
1976-07-01,-4.073
1976-10-01,-6.603
1977-01-01,-21.079
1977-04-01,-21.136
1977-07-01,-20.579
1977-10-01,-29.582
1978-01-01,-38.681
1978-04-01,-22.624
1978-07-01,-23.76
1978-10-01,-16.4
1979-01-01,-18.159
1979-04-01,-22.189
1979-07-01,-23.029
1979-10-01,-26.802
1980-01-01,-35.803
1980-04-01,-15.211
1980-07-01,5.471
1980-10-01,-6.682
1981-01-01,-14.259
1981-04-01,-13.508
1981-07-01,-7.561
1981-10-01,-14.75
1982-01-01,-16.276
1982-04-01,-4.386
1982-07-01,-29.647
1982-10-01,-29.587
1983-01-01,-24.548
1983-04-01,-45.434
1983-07-01,-65.2
1983-10-01,-71.385
1984-01-01,-95.004
1984-04-01,-104.301
1984-07-01,-103.847
1984-10-01,-107.756
1985-01-01,-91.298
1985-04-01,-114.445
1985-07-01,-116.895
1985-10-01,-133.434
1986-01-01,-126.014
1986-04-01,-128.872
1986-07-01,-138.961
1986-10-01,-133.629
1987-01-01,-141.234
1987-04-01,-146.977
1987-07-01,-145.464
1987-10-01,-145.405
1988-01-01,-123.987
1988-04-01,-106.627
1988-07-01,-99.263
1988-10-01,-107.694
1989-01-01,-100.965
1989-04-01,-88.16
1989-07-01,-75.075
1989-10-01,-82.765
1990-01-01,-88.536
1990-04-01,-68.833
1990-07-01,-74.953
1990-10-01,-79.096
1991-01-01,-47.14
1991-04-01,-23.188
1991-07-01,-21.074
1991-10-01,-23.053
1992-01-01,-20.536
1992-04-01,-32.788
1992-07-01,-38.488
1992-10-01,-47.14
1993-01-01,-55.704
1993-04-01,-63.187
1993-07-01,-68.354
1993-10-01,-73.449
1994-01-01,-80.595
1994-04-01,-90.572
1994-07-01,-96.868
1994-10-01,-101.913
1995-01-01,-105.329
1995-04-01,-109.492
1995-07-01,-74.444
1995-10-01,-69.78
1996-01-01,-88.795
1996-04-01,-93.709
1996-07-01,-114.18
1996-10-01,-88.822
1997-01-01,-108.839
1997-04-01,-85.201
1997-07-01,-96.831
1997-10-01,-117.014
1998-01-01,-135.215
1998-04-01,-162.331
1998-07-01,-174.634
1998-10-01,-178.663
1999-01-01,-207.731
1999-04-01,-244.668
1999-07-01,-275.3
1999-10-01,-295.638
2000-01-01,-352.106
2000-04-01,-358.736
2000-07-01,-387.846
2000-10-01,-401.511
2001-01-01,-390.755
2001-04-01,-358.543
2001-07-01,-365.976
2001-10-01,-356.441
2002-01-01,-372.592
2002-04-01,-415.681
2002-07-01,-432.521
2002-10-01,-480.814
2003-01-01,-504.852
2003-04-01,-501.536
2003-07-01,-500.763
2003-10-01,-505.355
2004-01-01,-548.966
2004-04-01,-608.024
2004-07-01,-636.429
2004-10-01,-682.881
2005-01-01,-674.59
2005-04-01,-690.79
2005-07-01,-732.505
2005-10-01,-786.886
2006-01-01,-777.158
2006-04-01,-780.585
2006-07-01,-805.63
2006-10-01,-720.325
2007-01-01,-724.314
2007-04-01,-731.908
2007-07-01,-713.796
2007-10-01,-703.687
2008-01-01,-756.179
2008-04-01,-758.947
2008-07-01,-771.564
2008-10-01,-605.663
2009-01-01,-396.112
2009-04-01,-338.611
2009-07-01,-405.497
2009-10-01,-445.584
2010-01-01,-489.179
2010-04-01,-519.127
2010-07-01,-535.095
2010-10-01,-512.21
2011-01-01,-561.474
2011-04-01,-581.865
2011-07-01,-573.85
2011-10-01,-600.657
2012-01-01,-615.102
2012-04-01,-580.505
2012-07-01,-540.838
2012-10-01,-537.839
2013-01-01,-516.863
2013-04-01,-508.931
2013-07-01,-496.282
2013-10-01,-441.051
2014-01-01,-506.318
2014-04-01,-507.643
2014-07-01,-492.266
2014-10-01,-524.406
2015-01-01,-528.778
2015-04-01,-508.342
2015-07-01,-542.67
2015-10-01,-526.494
2016-01-01,-513.898
2016-04-01,-492.334
2016-07-01,-497.713
2016-10-01,-546.102
2017-01-01,-543.562
2017-04-01,-559.521
2017-07-01,-543.581
2017-10-01,-575.47
2018-01-01,-589.808
2018-04-01,-548.149
2018-07-01,-646.433
2018-10-01,-653.448
2019-01-01,-615.543
2019-04-01,-644.744
2019-07-01,-631.838
2019-10-01,-549.757
2020-01-01,-494.307
2020-04-01,-545.164
2020-07-01,-736.124
